"Date","Price","Open","High","Low","Vol.","Change %"
"02/21/2024","89,875.00","89,238.38","89,875.00","89,192.53","","0.71%"
"02/20/2024","89,238.38","14,982.84","90,000.00","14,982.00","","-0.29%"
"02/19/2024","89,498.00","89,548.00","89,549.00","89,548.00","","0.00%"
"02/16/2024","89,498.00","52,280.00","89,549.00","89,548.00","","496.65%"
"02/15/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"02/14/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"02/13/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"02/12/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"02/09/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"02/08/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"02/07/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"02/06/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"02/05/2024","15,000.00","15,030.00","15,030.00","15,030.00","","0.00%"
"02/02/2024","15,000.00","15,030.00","15,030.00","15,030.00","","0.00%"
"02/01/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"01/31/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"01/30/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"01/29/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"01/26/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"01/25/2024","15,000.00","15,030.00","15,030.00","15,030.00","","0.00%"
"01/24/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"01/23/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"01/22/2024","15,000.00","15,030.00","15,030.00","15,030.00","","0.00%"
"01/19/2024","15,000.00","15,030.00","15,030.00","15,030.00","","0.00%"
"01/18/2024","15,000.00","15,030.00","15,030.00","15,030.00","","0.00%"
"01/17/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"01/16/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"01/15/2024","15,000.00","15,030.00","15,030.00","15,030.00","","0.00%"
"01/12/2024","15,000.00","15,030.00","15,035.00","15,030.00","","0.00%"
"01/11/2024","15,000.00","15,030.00","15,035.00","15,030.00","","0.00%"
"01/10/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"01/09/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"01/08/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"01/05/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"01/04/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"01/03/2024","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"01/02/2024","15,000.00","15,030.00","15,035.00","15,030.00","","0.00%"
"01/01/2024","15,000.00","15,030.00","15,030.00","15,030.00","","0.00%"
"12/29/2023","15,000.00","15,035.00","15,035.00","15,030.00","","0.00%"
"12/28/2023","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"12/27/2023","15,000.00","15,030.00","15,035.00","15,030.00","","0.00%"
"12/26/2023","15,000.00","15,030.00","15,035.00","15,030.00","","-0.38%"
"12/25/2023","15,056.56","15,046.44","15,061.76","15,046.44","","0.38%"
"12/22/2023","15,000.00","15,030.00","15,252.50","15,030.00","","0.00%"
"12/21/2023","15,000.00","15,030.00","15,252.50","15,030.00","","0.06%"
"12/20/2023","14,991.40","15,030.00","15,252.50","15,025.70","","-0.06%"
"12/19/2023","15,000.00","15,030.00","15,035.00","15,030.00","","0.00%"
"12/18/2023","15,000.00","15,030.00","15,030.00","15,030.00","","0.00%"
"12/15/2023","15,000.00","15,030.00","15,035.00","15,030.00","","0.00%"
"12/14/2023","15,000.00","15,030.00","15,035.00","15,030.00","","0.00%"
"12/13/2023","15,000.00","15,030.00","15,035.00","15,030.00","","0.00%"
"12/12/2023","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"12/11/2023","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"12/08/2023","15,000.00","15,030.00","15,032.50","15,030.00","","0.00%"
"12/07/2023","15,000.00","15,030.00","15,035.00","15,030.00","","0.00%"
"12/06/2023","15,000.00","15,030.00","15,035.00","15,030.00","","0.00%"
"12/05/2023","15,000.00","15,035.00","15,035.00","15,030.00","","0.00%"
"12/04/2023","15,000.00","15,030.00","15,035.00","15,030.00","","0.00%"
